name,rarity,description,type
Legendary Sword,Short Print,A Warrior-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Beast Fangs,Short Print,A Beast-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Violet Crystal,Short Print,A Zombie-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Book of Secret Arts,Short Print,A Spellcaster-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Dragon Capture Jar,Rare,All Dragon-Type Monsters on the field are switched to Defense Position and remain in this position as long as this card is active.,Trap
Forest,Common,Increases the ATK and DEF of all Insect Beast Plant and Beast-Warrior-Type Monsters by 200 points.,Spell
Wasteland,Common,Increases the ATK and DEF of all Dinosaur Zombie and Rock-Type Monsters by 200 points.,Spell
Sogen,Common,Increases the ATK and DEF of all Beast-Warrior and Warrior-Type Monsters by 200 points.,Spell
Umi,Common,Increases the ATK and DEF of all Fish Sea Serpent Thunder and Aqua-Type Monsters by 200 points. Also decreases the ATK and DEF of all Machine and Pyro-Type Monsters by 200 points.,Spell
Yami,Common,Increases the ATK and DEF of all Fiend and Spellcaster-Type Monsters by 200 points. Also decreases the ATK and DEF of all Fairy-Type Monsters by 200 points.,Spell
Dark Hole,Super Rare,Destroys all Monsters on the field.,Spell
Raigeki,Super Rare,Destroys all of your opponents Monsters on the field.,Spell
Red Medicine,Common,Increases your Life Points by 500 points.,Spell
Sparks,Common,Inflicts 200 points of Direct Damage to your opponents Life Points.,Spell
Fissure,Rare,Destroys 1 opponents face-up Monster with the lowest ATK.,Spell
Trap Hole,Super Rare,If the ATK of a Monster summoned by your opponent (excluding Special Summon) is 1000 points or more the Monster is destroyed.,Trap
Polymerization,Super Rare,Fuses 2 or more Fusion-Material Monsters to form a new Fusion Monster.,Spell
Remove Trap,Common,Destroys 1 face-up Trap Card on the field.,Spell
Two-Pronged Attack,Rare,Select and destroy 2 of your Monsters and 1 of your opponents Monsters.,Trap
Mystical Elf,Super Rare,A delicate elf that lacks offense but has a terrific defense backed by mystical power,Monster
Tyhone,Common,Capable of firing cannonballs from its mouth for long-range attacks this creature is particularly effective in mountain battles.,Monster
Gravedigger Ghoul,Rare,Select 2 Monster Cards from your opponents Graveyard. These Monster Cards are removed from play for the remainder of the Duel.,Spell
Curse of Dragon,Super Rare, A wicked dragon that taps into dark forces to execute a powerful attack.,Monster
Giant Soldier of Stone,Rare,A giant warrior made of stone. A punch from this creature has earth-shaking results,Monster
Uraby,Common,Fast on its feet this dinosaur rips enemies to shreds with its sharp claws.,Monster
Red-Eyes B. Dragon,Ultra Rare,A ferocious dragon with a deadly attack.,Monster
Reaper of the Cards,Rare,FLIP: Destroys 1 Trap Card on the field. If this cards target is face-down flip it face-up. If the card is a Trap Card it is destroyed. If not it is returned to its face-down position. The flipped card is not activated.,Monster
Witty Phantom,Common,Dressed in a night-black tuxedo this creature presides over the darkness.,Monster
Hard Armor,Common,A living suit of armor that attacks enemies with a bone-jarring tackle.,Monster
Man Eater,Common,Man-eating plant with poison feelers for attacking enemies,Monster
Spirit of the Harp,Rare,A spirit that soothes the soul with the music of its heavenly harp. ,Monster
Armaill,Common, A strange warrior who manipulates three deadly blades with both hands and his tail,Monster
Terra the Terrible,Common,Known as a swamp dweller this creature is a minion of the dark forces.,Monster
Kumootoko,Common,A massive intelligent spider that traps enemies with webbing.,Monster
Meda Bat,Common, An eyeball fiend created by a servant of the wicked it uses Dark Blasts to blow away its enemies.,Monster
Enchanting Mermaid,Common, A beautiful mermaid that lures voyagers to a watery grave.,Monster
Fireyarou,Common,A malevolent creature wrapped in flames that attacks enemies with intense fire.,Monster
Dark Energy,Short Print,A Fiend-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Laser Cannon Armor,Short Print,An Insect-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Vile Germs,Short Print,A Plnat-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Silver Bow and Arrow,Short Print,A Fairy-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Dragon Treasure,Short Print,A Dragon-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Electro-Whip,Common,A Thunder-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Mystical Moon,Short Print,A Beast-Warrior-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Stop Defense,Rare,Select 1 of your opponents Monsters and switch it to Attack Position. If the card is face-down flip it face-up. If the card has a flip effect it is activated immediately.,Spell
Machine Conversion Factory,Short Print,A Machine-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Raise Body Heat,Short Print,A Dinosaur-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Follow Wind,Short Print,A Winged Beast-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell
Goblins Secret Remedy,Rare,Increase your Life Points by 600 points.,Spell
Final Flame,Rare,Inflicts 600 points of Direct Damage to your opponents Life Points.,Spell
Swords of Revealing Light,Super Rare,Counting from your opponents turn none of your opponents Monsters can attack for 3 turns of his/her own. When this card is activated opponents face-down Monsters at that time are turned face-up,Spell
Metal Dragon,Rare,Steel Ogre Grotto #1 + Lesser Dragon,Monster
Spike Seadra,Common,Using the spikes sprouting from its body this creature stabs its opponents and floods them with electricity.,Monster
Tripwire Beast,Common, This creature attacks with electromagnetic waves.,Monster
Skull Red Bird,Common,This Monster swoops down and attacks with a rain of knives stored in its wings,Monster
Armed Ninja,Rare,FLIP: Destroys 1 Spell Card on the field. If this cards target is face-down flip it face-up. If the card is a Spell Card it is destroyed. If not it is returned to its face-down position. The flipped card is not activated.,Monster
Flower Wolf,Rare,Silver Fang + Darkworld Thorns,Monster
Man-Eater Bug,Super Rare,FLIP: Destroys 1 Monster on the field,Monster
Misairuzame,Common,A missile-launching fish protected by deadly spikes.,Monster
Steel Ogre Grotto #1,Common, A steel idol worshipped in the Land of Machines,Monster
Lesser Dragon,Common,A minor dragon incapable of breathing fire,Monster
Darkworld Thorns,Common,A thorny plant found in the darklands that wraps itself around any unwary traveler.,Monster
Drooling Lizard,Common, A blood-sucking snake in human form that attacks any living being that passes nearby.,Monster
Armored Starfish,Common,A bluish starfish with a solid hide capable of fending off attacks,Monster
Succubus Knight,Common,A warrior wizard adept in casting bone-chilling spells. ,Monster
Monster Reborn,Ultra Rare,Select 1 Monster Card from either your opponents or your own Graveyard and place it on the field under your control in Attack or Defense Position (face-up). This is considered a Special Summon.,Spell
Right Leg of the Forbidden One,Ultra Rare,A forbidden right leg sealed by magic. Whosoever breaks this seal will know infinite power.,Monster
Left Leg of the Forbidden One,Ultra Rare,A forbidden left leg sealed by magic. Whosoever breaks this seal will know infinite power.,Monster
Right Arm of the Forbidden One,Ultra Rare,A forbidden right arm sealed by magic. Whosoever breaks this seal will know infinite power.,Monster
Left Arm of the Forbidden One,Ultra Rare,A forbidden left arm sealed by magic. Whosoever breaks this seal will know infinite power.,Monster
Exodia the Forbidden One,Ultra Rare,When you have Right Leg of the Forbidden One Left Leg of the Forbidden One Right Arm of the Forbidden One and Left Arm of the Forbidden One in addition to this card in your hand you win the Duel.,Monster
Gaia the Dragon Champion,Secret Rare,Gaia the Fierce Knight + Curse of Dragon,Monster
Gate Guardian,Secret Rare,This card can only be Special Summoned by offering Sanga of the Thunder Kazejin and Suijin on your side of the field as a Tribute.,Monster
Feral Imp,Common,A playful little fiend that lurks in the dark waiting to attack an unwary enemy.,Monster
Winged Dragon Guardian of the Fortress #1,Common, A dragon commonly found guarding mountain fortresses. Its signature attack is a sweeping dive from out of the blue,Monster
Summoned Skull,Ultra Rare,"Archfiend Card
A fiend with dark powers for confusing the enemy. Among the Fiend-Type Monsters this Monster boasts considerable force",Monster
Rock Ogre Grotto #1,Common, Protected by a solid body of rock this Monster throws a bone-shattering punch.,Monster
Armored Lizard,Common,A lizard with a very tough hide and a vicious bite,Monster
Killer Needle,Common,A huge bee with exceptional strength thats particularly dangerous in a swarm,Monster
Larvae Moth,Common,This Monster can only be Special Summoned by offering Petit Moth as a Tribute on the 2nd of your turns after Petit Moth has been equipped with Cocoon of Evolution,Monster
Harpie Lady,Common,This human-shaped animal with wings is beautiful to watch but deadly in battle.,Monster
Harpie Lady Sisters,Super Rare, This Monster can only be Special Summoned with the Magic Card Elegant Egotist.,Monster
Kojikocy,Common, A man-hunter with powerful arms that can crush boulders,Monster
Cocoon of Evolution,Short Print,You may treat this card as an Equip Magic Card on a face-up Petit Moth on the field. When equipped the ATK and DEF of Petit Moth becomes the same as Cocoon of Evolution,Monster
Crawling Dragon,Common,This weakened dragon can no longer fly but is still a deadly force to be reckoned with.,Monster
Armored Zombie,Common,This warrior blindly swings a deadly blade with devastating force.,Monster
Mask of Darkness,Rare, FLIP: Select 1 Trap Card from your Graveyard and return it to your hand.,Monster
Doma The Angel of Silence,Common, This fairy rules over the end of existence.,Monster
White Magical Hat,Rare,When this card inflicts damage to your opponents Life Points 1 card must be discarded randomly from your opponents hand to the Graveyard.,Monster
Big Eye,Common, FLIP: See the 5 cards from the top of your Deck arrange them in any order desired and replace them on top of the Deck.,Monster
B. Skull Dragon,Ultra Rare,"Archfiend Card 
Summoned Skull + Red-Eyes B. Dragon",Monster
Masked Sorcerer,Rare,When you inflict damage to your opponents Life Points with this card draw 1 card from your Deck.,Monster
Roaring Ocean Snake,Common,Mystic Lamp + Hyosube,Monster
Water Omotics,Common,Transforms the water overflowing from a jar into attacking dragons.,Monster
Ground Attacker Bugroth,Common,A surface battle robot that was once used for sea warfare.,Monster
Petit Moth,Common,This small but deadly creature is better off avoided.,Monster
Elegant Egotist,Rare,When there are 1 or more Harpie Lady cards on the field you can Special Summon 1 Harpie Lady or Harpie Lady Sisters from your hand or your Deck.,Spell
Sanga of the Thunder,Super Rare,Reduce the ATK of an opponents Monster attacking this card to 0. This effect can be used only once. The cards owner chooses when to activate this effect.,Monster
Kazejin,Super Rare,Reduce the ATK of an opponents Monster attacking this card to 0. This effect can be used only once. The cards owner chooses when to activate this effect.,Monster
Suijin,Super Rare,Reduce the ATK of an opponents Monster attacking this card to 0. This effect can be used only once. The cards owner chooses when to activate this effect.,Monster
Mystic Lamp,Short Print,This Monster may attack your opponents Life Points directly.,Monster
Steel Scorpion,Common,A non Machine-Type Monster attacking Steel Scorpion will be destroyed at the End Phase of your opponents 3rd turn after the attack.,Monster
Ocubeam,Common,Frightening in appearance this creature uses its large eyes and ears to keep track of any movement.,Monster
Leghul,Short Print,This Monster may attack your opponents Life Points directly.,Monster
Ooguchi,Short Print,This Monster may attack your opponents Life Points directly.,Monster
Leogun,Common,Huge Monster with a lions mane similar to the King of Beasts.,Monster
Blast Juggler,Common,Offer this card as a Tribute during your Standby Phase if face-up to destroy 2 face-up Monsters with an ATK of 1000 or less.,Monster
Jinzo #7,Short Print,This Monster may attack your opponents Life Points directly.,Monster
Magician of Faith,Rare,FLIP: Select 1 Magic Card from your Graveyard and return it to your hand.,Monster
Ancient Elf,Common,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.,Monster
Deepsea Shark,Common,Bottom Dweller + Tongyo,Monster
Bottom Dweller,Common,This is one sea creature whose wrath id something Monsters fear to face.,Monster
Destroyer Golem,Common, A golem with a massive right hand for crushing its victims.,Monster
Kaminari Attack,Common, Ocubeam + Mega Thunderball,Monster
Rainbow Flower,Short Print,This Monster may attack your opponents Life Points directly.,Monster
Morinphen,Common, A strange fiend with long arms and razor-sharp talons,Monster
Mega Thunderball,Common,Rolls along the ground releasing bolts of electricity to attack its enemies,Monster
Tongyo,Common,This Monster captures other fish with its long tongue and sucks the energy out of them.,Monster
Empress Judge,Common,Queens Double + Hibikime,Monster
Pale Beast,Common,With skin tinged a bluish-white this strange creature is a fearsome sight to behold.,Monster
Electric Lizard,Common, A non Zombie-Type Monster attacking Electric Lizard cannot attack on its following turn,Monster
Hunter Spider,Common, This Monster feeds on whatever it catches in its web.,Monster
Ancient Lizard Warrior,Common,Before the dawn of man this lizard warrior ruled supreme,Monster
Queens Double,Short Print,This Monster may attack your opponents Life Points directly.,Monster
Trent,Common,A guardian of the woods this massive tree is believed to be immortal.,Monster
Disk Magician,Common,This Monster hides in a saucer and only appears when executing an attack,Monster
Hyosube,Common,This amphibian is strong on the attack but leaves much to be desired when defending.,Monster
Hibikime,Common, Confuses enemy Monsters with a noise that is harsh to the ears.,Monster
Fake Trap,Rare,When your opponent uses a Magic Trap or Effect Monster Card to destroy your Trap Card(s) this card can be destroyed as a substitute for your Trap Card(s).,Trap
Tribute to The Doomed,Super Rare,Discard 1 card from your hand to the Graveyard to destroy 1 Monster Card on the field (regardless of its position).,Spell
Soul Release,Common,Select up to 5 cards from either you or your opponents Graveyard and remove them from the current Duel.,Spell
The Cheerful Coffin,Common,You can discard up to 3 Monster Cards from your hand to the Graveyard.,Spell
Change of Heart,Ultra Rare,Select and control 1 opposing Monster (regardless of position) on the field until the end of your turn.,Spell
Baby Dragon,Short Print,Much more than just a child this dragon is gifted with untapped power.,Monster
Blackland Fire Dragon,Common,A dragon that dwells in the depths of darkness its vulnerability lies in its poor eyesight.,Monster
Swamp Battleguard,Common, Increase the ATK of this Monster by 500 points for every face-up Lava Battleguard on your side of the field.,Monster
Battle Steer,Common,A bull Monster often found in the woods it charges enemy Monsters with a pair of deadly horns.,Monster
Time Wizard,Ultra Rare,Toss a coin and call Heads or Tails. If you call it right your opponents Monsters on the field are destroyed. If you call it wrong your own Monsters on the field are destroyed and you lose Life Points equal to their combined ATK,Monster
Saggi the Dark Clown,Common,This clown appears from nowhere and executes very strange moves to avoid enemy attacks,Monster
Dragon Piper,Common,FLIP: Destroys Dragon Capture Jar and turns all face-up Dragon-Type Monsters to Attack Position.,Monster
Illusionist Faceless Mage,Common,Manipulates enemy attacks with the power of illusion.,Monster
Sangan,Rare,When this card is sent from the field to the Graveyard move 1 Monster with an ATK of 1500 or less from your Deck to your hand. Your Deck is then shuffled,Monster
Great Moth,Rare,This card can only be Special Summoned by offering Petit Moth as a Tribute on the 4th of your turns after Petit Moth has been equipped with Cocoon of Evolution,Monster
Kuriboh,Super Rare,Discard this card from your hand to the Graveyard to make the damage inflicted to your Life Points by 1 opponents Monster 0. This effect must be activated during your opponents Battle Phase.,Monster
Jellyfish,Common,An almost invisible semi-transparent jellyfish that drifts in the sea.,Monster
Castle of Dark Illusions,Common, FLIP: Increases the ATK and DEF of all Zombie-Type Monsters by 200 points. As long as this card remains face-up on the field the ATK and DEF of Zombie-Type Monsters continues to increase by 200 during each of your Standby Phases.,Monster
King of Yamimakai,Common,Wields the power of darkness to destroy its enemies,Monster
Catapult Turtle,Super Rare, Offer 1 Monster on your side of the field as Tribute to inflict Direct Damage equal to half of the Tribute Monsters ATK to your opponents Life Points. Monsters used for a Tribute Summon or that are offered as Tributes by other cards effects are excluded,Monster
Mystic Horseman,Common, Half man and half horse this Monster is known for its extreme speed.,Monster
Rabid Horseman,Common,Battle Ox + Mystic Horseman,Monster
Crass Clown,Short Print,When this card is changed from Defense Position to Attack Position return 1 Monster on your opponents side of the field to the owners hand.,Monster
Pumpking the King of Ghosts,Common, If Castle of Dark Illusions is face-up on the field increase the ATK and DEF of this card by 100 points. As long as this Castle of Dark Illusions remains face-up on the field the ATK and DEF of this card continues to increase by 100 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated.,Monster
Dream Clown,Short Print,When this card is changed from Attack Position to Defense Position select and destroy 1 Monster on your opponents side of the field.,Monster
Tainted Wisdom,Common,When this card is changed from Attack Position to Defense Position shuffle your own Deck.,Monster
Ancient Brain,Common,A fallen fairy that is powerful in the dark,Monster
Guardian of the Labyrinth,Common,A Monster that guards the entrance to the Netherworld.,Monster
Prevent Rat,Common,This creature is shielded with a tough hide of hair and is excellent a defending itself.,Monster
The Little Swordsman of Aile,Common,Offer 1 Monster on your side of the field as a Tribute to increase this Monsters ATK by 700 points until the end of the turn,Monster
Princess of Tsurugi,Rare,FLIP: Inflicts 500 points of direct damage to your opponents life points for each magic and trap card your opponent has on the field.,Monster
Protector of the Throne,Common,While the king is away this queen protects his throne with a mighty defense,Monster
Tremendous Fire,Common,Inflicts 1000 points of Direct Damage to your opponents Life Points and 500 points of Direct Damage to your Life Points.,Spell
Jirai Gumo,Common, When you attack with this card toss a coin and call it. If you call it right attack normally. If you call it wrong reduce your Life Points by half before attacking.,Monster
Shadow Ghoul,Rare, Increase the ATK of this Monster by 100 points for each Monster in your own Graveyard.,Monster
Labyrinth Tank,Common,Giga-Tech Wolf + Cannon Soldier,Monster
Ryu-Kishin Powered,Common,A gargoyle enhanced by the powers of darkness. Very sharp talons make it a worthy opponent,Monster
Bickuribox,Common,Crass Clown + Dream Clown,Monster
Giltia the D. Knight,Common,Guardian of the Labyrinth + Protector of the Throne,Monster
Launcher Spider,Common,A mechanical spider with rocket launchers capable of random fire.,Monster
Giga-Tech Wolf,Common, An iron wolf with razor-sharp fangs that can penetrate any armor.,Monster
Thunder Dragon,Short Print,Discard this card from your hand to the Graveyard to add up to 2 Thunder Dragon cards from your Deck to your hand. Your Deck is then shuffled. This effect is activated only during a Main Phase.,Monster
7 Colored Fish,Common, A rare rainbow fish that has never been caught by mortal man,Monster
The Immortal of Thunder,Common,FLIP: You gain 3000 Life Points. After this card is flipped you lose 5000 Life Points when it is sent from the field to the Graveyard,Monster
Punished Eagle,Common,Blue-Winged Crown + Niwatori ,Monster
Insect Soldiers of the Sky,Common, The ATK of this card increases by 1000 points whenever it attacks a WIND Monster.,Monster
Hoshiningen,Rare,As long as this card remains face-up on the field increase ATK of all LIGHT Monsters by 500 points and decrease the ATK of all DARK Monsters by 400 points.,Monster
Musician King,Common,Witch of the Black Forest + Lady of Faith,Monster
Yado Karu,Common,When this card is changed from Defense Position to Attack Position you can place any number of cards from your hand at the bottom of your Deck in any order you desire,Monster
Cyber Saurus,Common,Blast Juggler + Twin-Headed King Rex,Monster
Cannon Soldier,Rare, Offer 1 Monster on your side of the field as a Tribute to inflict 500 points of Direct Damage to your opponents Life Points. Monsters used for a Tribute Summon or that are offered as Tributes due to other cards effects are excluded.,Monster
Muka Muka,Rare,Increase the ATK and DEF of this card by 300 points for every card in your hand.,Monster
The Bistro Butcher,Common,When this card inflicts damage to your opponent your opponent must draw 2 cards from his/her Deck.,Monster
Star Boy,Rare,As long as this card remains face-up on the field increase the ATK of all WATER Monsters by 500 points and decrease the ATK of all FIRE Monsters by 400 points,Monster
Milus Radiant,Rare,As long as this card remains face-up on the field increase the ATK of all EARTH Monsters by 500 points and decrease the ATK of all WIND Monsters by 400 points,Monster
Flame Cerebrus,Common,Known to many as the Burning Executioner this Monster is capable of burning enemies to cinders,Monster
Niwatori,Common,Swallows enemies whole and uses their essence as energy,Monster
Dark Elf,Rare,This card requires a cost of 1000 of your own Life Points to attack.,Monster
Mushroom Man #2,Common,A player controlling this Monster loses 300 Life Points during each of his/her Standby Phases when this card is face-up on the field. Control of this card is shifted to your opponent by paying 500 Life Points at your own End Phase.,Monster
Lava Battleguard,Common, Increase the ATK of this card by 500 points for each face-up Swamp Battleguard on your side of the field.,Monster
Witch of the Black Forest,Rare,When this card is sent from the field to the Graveyard move 1 Monster with a DEF of 1500 or less from your Deck to your hand. Your Deck is then shuffled.,Monster
Little Chimera,Rare,As long as this card remains face-up on the field increase ATK of all FIRE Monsters by 500 points and decrease the ATK of all WATER Monsters by 400 points.,Monster
Bladefly,Rare,As long as this card remains face-up on the field increase ATK of all WIND Monsters by 500 points and decrease the ATK of all EARTH Monsters by 400 points.,Monster
Lady of Faith,Common,Soothes the souls of others by chanting a mysterious spell.,Monster
Twin-Headed Thunder Dragon,Super Rare,,Monster
Witchs Apprentice,Rare,As long as this card remains face-up on the field increase ATK of all DARK Monsters by 500 points and decrease the ATK of all LIGHT Monsters by 400 points.,Monster
Blue-Winged Crown,Common,With hair shaped like a crown and a body encased in bluish white flames this bird is a formidable sight.,Monster
Skull Knight,Common,Tainted Wisdom + Ancient Brain,Monster
Gazelle the King of Mythical Beasts,Short Print,This Monster moves so fast that it looks like an illusion to mortal eyes.,Monster
Garnecia Elefantis,Super Rare, A Monster so heavy that each step rocks the earth.,Monster
Barrel Dragon,Ultra Rare, Toss a coin 3 times. If 2 out of 3 results are Heads destroy 1 Monster on your opponents side of the field. This cards effect can only be used during your own turn once per turn.,Monster
Solemn Judgment,Ultra Rare,Pay half of your Life Points when your opponent either activates a Magic or Trap Card or summons a Monster including Special Summon to negate the action and destroy the Magic Card Trap Card or summoned Monster.,Trap
Magic Jammer,Ultra Rare,Discard 1 card from your hand to the Graveyard to negate the activation of a Magic Card and destroy it.,Trap
Seven Tools of the Bandit,Ultra Rare,Pay 1000 of your Life Points to negate the activation of a Trap Card and destroy it.,Trap
Horn of Heaven,Ultra Rare,Offer 1 of your Monsters on the field as a Tribute to negate the summon (including Special Summon) of a Monster and destroy it.,Trap
Shield & Sword,Rare,For 1 turn each face-up Monsters original ATK becomes their original DEF and vice-versa. Any additions or subtractions to ATK and/or DEF due to card effects are applied to the new ATK and DEF. Monsters summoned after this card are unaffected.,Spell
Sword of Deep-Seated,Common,A Monster card equipped with this card increases its ATK and DEF by 500 points. When this card is sent to the Graveyard place it on top of your Deck.,Spell
Block Attack,Common,Select 1 of your opponents Monsters and shift it to Defense Position.,Spell
The Unhappy Maiden,Short Print, When this card is sent to the Graveyard as a result of battle the Battle Phase for that turn ends immediately.,Monster
Robbin Goblin,Rare,Each time 1 of your Monsters inflicts damage to your opponents Life Points 1 card is randomly selected from your opponents hand and discarded to the Graveyard.,Trap
Germ Infection,Common,The ATK of a non Machine-Type Monster equipped with this card is decreased by 300 points at each of its Standby Phases.,Spell
Paralyzing Potion,Common,A non Machine-Type Monster equipped with this card cannot attack.,Spell
Mirror Force,Ultra Rare,When your opponents Monster attacks negate the attack and destroy all opponents Monsters in Attack Position.,Trap
Ring of Magnetism,Common,A Monster equipped with this card decreases its ATK and DEF by 500 points. All your opponents Monsters must attack the Monster equipped with this card.,Spell
Share the Pain,Common,Offer 1 Monster on your side of the field as a Tribute. Your opponent must select 1 Monster on his/her side of the field and offer it as a Tribute.,Spell
Stim-Pack,Short Print,A Monster equipped with this card increases its ATK by 700 points. Its ATK is then decreased by 200 points at each of its Standby Phases.,Spell
Heavy Storm,Super Rare,Destroys all Magic and Trap Cards on the field.,Spell
Thousand Dragon,Secret Rare,Time Wizard + Baby Dragon,Monster
Blue Eyes Toon Dragon,Secret Rare,This card cannot be Normal Summoned or Set. This card can only be Special Summoned while Toon World is on your side of the field. You can Special Summon this Monster from your hand but Tributes are required for Monsters Level 5 or more. This card cannot attack in the turn that it is summoned. Unless you pay 500 Life Points this Monster cannot attack. When Toon World on the field is destroyed this card is also destroyed. If your opponent doesnt control a Toon Monster this card can attack your opponents Life Points directly. If a face-up Toon Monster is on your opponents side of the field  you must select the Toon Monster as an attack target.,Monster
Penguin Knight,Common, When this card is sent directly from your Deck to the Graveyard by an opponents card effect combine your Graveyard cards with your own Deck shuffle them and form a new Deck.,Monster
Axe of Despair,Ultra Rare,"Archfiend Card
A Monster equipped with this card increases its ATK by 1000 points. When this card is sent from the field to the Graveyard you can offer 1 Monster from the field as a Tribute to place it on top of your Deck.",Spell
Black Pendant,Super Rare,A Monster equipped with this card increases its ATK by 500 points. When this card is sent from the field to the Graveyard inflict 500 points of Direct Damage to your opponents Life Points.,Spell
Horn of Light,Common,A Monster equipped with this card increases its DEF by 800 points. When this card is sent from the field to the Graveyard you can pay 500 Life Points to place it on top of your Deck.,Spell
Malevolent Nuzzler,Common,A Monster equipped with this card increases its ATK by 700 points. When this card is sent from the field to the Graveyard you can pay 500 Life Points to place it on top of your Deck.,Spell
Spellbinding Circle,Ultra Rare,Select 1 Monster. As long as this card remains face-up on the field the selected Monster cannot attack of change its battle position except by the effect of a Magic Trap or Effect Monster Card. When the selected Monster is destroyed this card is destroyed as well.,Trap
Metal Fish,Common,A metal fish with a razor-sharp caudal fin.,Monster
Electric Snake,Common,When this card is sent directly from your hand to the Graveyard by your opponents card effect you can draw 2 cards from your Deck.,Monster
Queen Bird,Common,This Monster attacks enemies using its huge beak.,Monster
Ameba,Rare,When this card is face-up on the field and control shifts to your opponent inflict 2000 points of Direct Damage to your opponents Life Points. This effect can only be used once as long as this card remains face-up on the field.,Monster
Peacock,Common,A large peacock that launches its feathers in a lethal attack.,Monster
Maha Vailo,Super Rare, In addition to the effects of Equip Cards the ATK of this Monster is increased by 500 points for each card equipped to this Monster.,Monster
Guardian of the Throne Room,Common,A robot guard built to protect throne rooms it is armed with homing missiles. ,Monster
Fire Kraken,Common,A squid that thrives on fire and heat.,Monster
Minar,Common,When this card is sent directly from your hand to the Graveyard by your opponents card effect inflict 1000 points of Direct Damage to your opponents Life Points.,Monster
Griggle,Common,When this card is face-up on the field and control shifts to your opponent you gain 3000 Life Points. This effect can only be used once as long as this card remains face-up on the field.,Monster
Tyhone #2,Common, A crimson dragon that spits fireballs to create a blazing sea of fire.,Monster
