name,description,type
David King,"Level 1 (2): When David explores, you may discard a weapon from your hand. If you do, add the effect text from that weapon to one weapon that David is using; Level 2 (6): When you play a “Knife” weapon from your hand, move a “Knife” weapon from your discard pile to your play area. David is now also using that weapon",Human
Mark Wilkins,"Level 1 (2): While Mark is using two or more weapons, he deals an additional 10 damage this turn; Level 2 (6): “Melee” weapons Mark uses get +10 damage ",Human
Jill Valentine,"Level 1 (3): At the beginning of your turn, decrease Jill's infection level by 1; Level 2 (6): While Jill's infection level is 0, you and Jill cannot be affected by any infection effects",Human
Leon S. Kennedy,"Level 1 (1): During your turn, you may put a card from your hand on top of your inventory; Level 2 (7): During your turn, you may discard one card from your hand. If you do, move one action card from your discard pile to your hand",Human
Ada Wong,"Level 1 (3): At the beginning of your turn, if Ada's health is 30 or less, you get +1 action during this turn; Level 2 (7): At the beginning of your turn, you may reveal any number of action cards from your hand. If you do, you get +1 card for each action card revealed this way",Human
Chris Redfield,"Level 1 (2): During your turn, you may discard any number of cards from your hand. You get +20 ammo this turn for each card discarded this way; Level 2 (8): When Chris explores, if you have more than 100 ammo, Chris deals an additional 20 damage during this turn",Human
Rebecca Chambers,"Level 1 (3): At the beginning of your turn, you may discard any number of cards from your hand. If you do, decrease Rebecca's infection level by 1 for every card discarded this way; Level 2 (6): When an effect decreases another character's infection level, you get +1 card",Human
Hunk,"Level 1 (3): At the beginning of your turn, you may choose to give Hunk 10 damage. If you do, you get +1 explore this turn; Level 2 (7): When Hunk explores, if his health is 10 or less, he deals an additional 30 damage this turn",Human
Zombie A,"When this infected character attacks, all other non-infected characters that are nont being attacked take 10 damage",Zombie
Zombie B,"When a character's infection level increases by 1 or more due to an effect, you may trash an infection card from your hand. If you do, increase that character's infection level by 1 more",Zombie
Zombie C,"At the beginning of your turn, you may move one infection card in your hand to the bottom of the infection deck. If you do, move the top card of the infection deck to your hand",Zombie
George Hamilton,"Level 1 (2): During your turn, you may trash an ""Herb"" from your hand. If it was a ""Green Herb"", you get +1 action. If it was a ""Red Herb"", you get +1 explore; Level 2 (6): At the beginning of your turn, you may reveal X ""Herb"" cards in your hand. You get +1 card for each “Herb” revealed this way",Human
Jim Chapman,"Level 1 (3): When Jim explores, you may flip a coin. If heads, one weapon Jim is using deals double damage this turn. If tails, Jim takes 10 damage; Level 2 (7): During your turn, when an infected is revealed, you may gain two ""Ammo x 10"" cards. If you do, move all revealed infected to the bottom of the mansion",Human
Chris Redfield,"Level 1 (3): If Chris reveals an infected with 40 or more health while exploring, he deals an additional 10 damage during this turn",Human
Sergei Vladimir,"Level 1 (4): During your turn, if Sergei is not exploring, you may give him 20 damage. If you do, he deals an additional 10 damage during this turn; Level 2 (6): When Sergei defeats an infected, you get +1 explore",Human
Luis Sera,"Level 1 (3): During your turn, you may choose to get +1 card. If you do, discard one card if you have 10 or fewer cards in your discard pile; Level 2 (5): When Luis defeats an infected, you may move any number of cards from your discard pile to the bottom of your inventory in any order",Human
Josh Stone,"Level 1 (0): When Josh is healed for the first time during your turn, you get +20 gold; Level 2 (7): At the beginning of your turn, if Josh is at maximum health, you may move one weapon from your discard pile to your hand",Human
Mikhail Victor,"Level 1 (0): Weapons cost you 10 less to buy; Level 2 (5): While Mikhail is using weapons with different weapon types, he deals an additional 10 damage",Human
Carlos Oliveira,"Level 1 (4): At the beginning of your turn, you get +20 gold; Level 2 (9):  When you buy a card with a cost of 80 or more, you get +1 explore",Human
Mysterious Mask,"Level 1 (4): When you defeat an infected, you may trash a card in your discard pile; Level 2 (8): During your turn, you may discard one action card from your hand. If you do, you get +2 cards",Human
Albert Wesker,"Level 1 (1): At the beginning of your turn, if only one other player's character has 30 or less health, you may choose to get +1 card; Level 2 (6): During your turn, you may choose to have the aforementioned player discard one card",Human
Leon S. Kennedy,"Level 1 (3): When Leon defeats an infected, you may trash a card from your discard pile. If you do, gain a card with a cost up to 20 more than the trashed card; Level 2 (6): When you gain a card, you get +1 card",Human
Ada Wong,"Level 1 (1): During your turn, if Ada takes damage, you get +2 cards; Level 2 (10): When Ada's health would be reduced to 0 or less, set it to 10 instead",Human
Cindy Lennox,"Level 1 (1): When you gain an “Herb” card, you get +1 buy this turn; Level 2 (5): At the beginning of your turn, if Cindy is at full health, she deals an additional 20 damage this turn",Human
Yoko Suzuki,"Level 1 (3): During your turn, you may attach a card from your hand to Yoko, face down. If you do, move an existing card attached in this way to your hand; Level 2 (4): When Yoko's health would be reduced to 0 or less, you may reduce her maximum health by 20 and then heal her to full health instead",Human
Alyssa Ashcroft,"Level 1 (2): When Alyssa explores using only one weapon, you may pay 20 ammo. If you do, that weapon gets +10 damage during this turn; Level 2 (5): During your turn, you may name a card type. If you do, reveal the top card of your inventory. If its type matches the named type, draw it and you get +1 explore this turn",Human
Hunk,"Level 1 (3): When Hunk would take any damage, you may reduce that damage by 20. If you do, gain one “Ammo x 10” card",Human
Jack Krauser,"Level 1 (4): At the beginning of your turn, if you have the lowest decoration count among all players, Jack deals an additional 10 damage during this turn",Human
Claire Redfield,"Level 1 (3): At the beginning of your turn, you may choose to get -1 buy. If you do, all your weapons have -10 ammo requirement during this turn",Human
Chris Redfield,"Level 1 (2): When Chris defeats an infected, you may trash one card from your hand or discard pile",Human
Jill Valentine,"Level 1 (5): During your turn, you may select one player. If you do, increase by 10 the ammo requirement of all weapons that player uses on his next turn ",Human
Albert Wesker,"Level 1 (7): When Albert would take any damage while exploring, you may lower that damage by 10 for every card in your hand",Human
Rebecca Chambers,"Level 1 (3): When you buy a card, you may move that card to another player's discard pile",Human
Barry Burton,"Level 1 (7): When Barry defeats an infected with 70 or less health, look at the top card of the mansion. If that card is an infected that has less health than the infected that Barry defeated before it this turn, automatically defeat that infected",Human
Hunk (Reaper),"Level 1 (2): At the beginning of your turn, you may reveal your hand. If your revealed hand contains two or more different card types, Hunk deals an additional 10 damage during this turn; Level 2 (5): During your turn, while Hunk is exploring, he deals and additional 20 damage this turn if you have four or more actions in your play area ",Human
Rebecca Chambers (Nurse),"Level 1 (1): At the beginning of your turn, you may choose to have another player get +1 card. If you do, you may have a player get +1 card; Level 2 (4): During your turn, while Rebecca is exploring, she deals an additional 10 damage for each player with more than 5 cards in his hand  ",Human
