name,rarity,description,type
Driven by Shadow,,When Revealed: Each enemy and each location currently in the staging area gets +1 Threat until the end of the phase. If there are no cards in the staging area. Driven by Shadow gains surge.,Treachery
The Necromancers Reach,,When Revealed: Deal 1 damage to each exhausted character.,Treachery
Necromancers Pass,,Travel: The first player must discard 2 cards from his hand at random to travel here.,Location
Enchanted Stream,,While Enchanted Stream is the active location. players cannot draw cards.,Location
Forest Spider,,Forced: After Forest Spider engages a player. it gets +1 Attack until the end of the round.,Enemy
East Bight Patrol,,,Enemy
Black Forest Bats,,When Revealed: Each player must choose 1 character currently committed to a quest. and remove that character from the quest. (The chosen character does not ready.),Enemy
Old Forest Road,,Response: After you travel to Old Forest Road. the first player may choose and ready 1 character he controls.,Location
Forest Gate,,Response: After you travel to Forest Gate. the first player may draw 2 cards.,Location
Dungeon Jailor,,Forced: If Dungeon Jailor is in the staging area after the players have just quested unsuccessfully. shuffle 1 unclaimed objective card from the staging area back into the encounter deck.,Enemy
Nazgul of Dol Guldur,,"Forced: When the prisoner is ""rescued."" move Nazgul of Dol Guldur into the staging area.  Forced: After a shadow effect dealt to Nazgul of Dol Guldur resolves. the engaged player must choose and discard 1 character he controls.",Enemy
Cavern Guardian,,,Enemy
Under the Shadow,,When Revealed: Until the end of the phase. raise the total Threat in the staging area by X. where X is the number of players in the game.,Treachery
Iron Shackles,,"When Revealed: Attach Iron Shackles to the top of the first players deck. (Counts as a Condition attachment with the text: ""The next time a player would draw 1 or more cards from attached deck. discard Iron Shackles instead."")  ",Treachery
Endless Caverns,,,Location
Tower Gate,,"After travelling to Tower Gate. each player places the top card of his deck. face down in front of him. as if it just engaged him from the staging area. These cards are called ""Orc Guard"". and act as enemies with: 1 hit point. 1 [Attack]. and 1 [Defense].",Location
Gandalfs Map,,Raise your threat by 2 to claim this objective when it is free of encounters. When claimed. attach Gandalfs Map to a hero you control. (Counts as an attachment. If detached. return Gandalfs Map to the staging area.) Attached hero cannot attack or defend.,Objective
Dungeon Torch,,"Action: Raise your threat by 2 to claim this objective when it is free of encounters. When claimed. attach Dungeon Torch to a hero you control. (Counts as an attachment. If detached. return Dungeon Torch to the staging area.)  Forced: At the end of each round. raise attached heros controllers threat by 2.",Objective
Shadow Key,,Action: Raise your threat by 2 to claim this objective when it is free of encounters. When claimed. attach Shadow Key to a hero you control. (Counts as an attachment. If detached. return Shadow Key to the staging area.) Forced: At the end of each round. attached hero suffers 1 damage.,Objective
Misty Mountain Goblins,,Forced: After Misty Mountain Goblins attacks. remove 1 progress token from the current quest.,Enemy
Massing at Night,,When Revealed: Reveal X additional cards from the encounter deck. X is the number of players in the game. ,Treachery
Banks of the Anduin,,Forced: If Banks of the Anduin leaves play. return it to the top of the encounter deck instead of placing it in the discard pile.,Location
Gladden Fields,,Forced: While Gladden Fields is the active location. each player must raise his threat by an additional point during the refresh phase.,Location
Eastern Crows,,Forced: After Eastern Crows is defeated. shuffle it back into the encounter deck.,Enemy
Evil Storm,,When Revealed: Deal 1 damage to each character controlled by each player with a threat of 35 or higher.,Treachery
Pursued by Shadow,,When Revealed: Each player raises his threat by 1 for each character he controls that is not currently committed to a quest.,Treachery
Treacherous Fog,,When Revealed: Each location in the staging area gets +1 Threat until the end of the phase. Then. each player with a threat of 35 or higher chooses and discards 1 card from his hand.,Treachery
Flies and Spiders,,"Side A: Setup: Search the encounter deck for 1 copy of the Forest Spider and 1 copy of the Old Forest Road. and add them to the staging area. Then. shuffle the encounter deck. Side B: none.",Quest
A Fork in the Road,,"Side A: none. Side B: Forced: When you defeat this stage. proceed to one of the 2 ""A Chosen Path"" stages. at random.",Quest
"A Chosen Path - ""Dont Leave the Path!""",,"Side A: none.  Side B: When Revealed: Each player must search the encounter deck and discard pile for 1 Spider card of his choice. and add it to the staging area. The players must find and defeat Ungoliants Spawn to win this game.",Quest
A Chosen Path - Beorns Path,,"Side A: none. Side B: Players cannot defeat this stage when Ungoliants Spawn is in play. If players defeat this stage. they have won the game.",Quest
The Necromancers Tower,,"Side A: Setup: Search the encounter deck for the 3 objective cards. and place them in the staging area. Also. place the Nazgul of Dol Guldur face up but out of play. alongside the quest deck. Then. shuffle the encounter deck and attach 1 encounter to each objective card. Side B: When Revealed: Randomly select 1 hero card (among all the heroes controlled by the players) and turn it facedown. That hero is now considered a ""prisoner."" cannot be used. cannot be damaged. and does not collect resources. until it is ""rescued"" (as instructed by card effects) later in this quest. 
The players. as a group. cannot play more than 1 ally card each round. 
Players cannot advance to the next stage of this quest unless they have at least 1 objective card.",Quest
Through the Caverns,,"Side A: none. Side B: Response: After placing any number of progress tokens on this card. flip the ""prisoner"" hero card face up. and place 1 damage token on it. This hero has now been ""rescued."" and may now be used by its controller. 
The players. as a group. cannot play more than 1 ally card each round. 
Players cannot advance to the next stage of this quest unless they have rescued the prisoner and have all 3 ""Escape from Dol Guldur"" objective cards.",Quest
Out of the Dungeons,,"Side A: none. Side B: Forced: At the beginning of each quest phase. each player places the top card of his deck. face down in front of him. as if it just engaged him from the staging area. These cards are called ""Orc Guard."" and act as enemies with: 1 hit point. 1 Attack. and 1 Defense. 
Players cannot defeat this stage while Nazgul of Dol Guldur is in play. If it is defeated and Nazgul of Dol Guldur is not in play. the players have won the game.",Quest
To the River…,,"Side A: Setup: Each player reveals 1 card from the top of the encounter deck. and adds it to the staging area. Side B: When Revealed: Search the encounter deck for 1 Hill Troll (if one is not already in play). and place it in the staging area. Shuffle the encounter deck.
Players cannot defeat this stage while any Hill Troll cards are in play.",Quest
Anduin Passage,,"Side A: none. Side B: Reveal 1 additional card from the encounter deck each quest phase. Do not make engagement checks during the encounter phase. (Each player may still optionally engage 1 enemy each encounter phase.)",Quest
Ambush on the Shore,,"Side A: none.  Side B: When Revealed: Reveal 2 encounter cards per player and add them to the staging area.
Skip the staging step of the quest phase for the remainder of the game.
Once there are no enemies in play. the players have won the game.",Quest
Bilbo Baggins (HfG),Unique,The first player draws 1 additional card in the resource phase.,Hero
Dunedain Mark,,Attach to a hero. Attached hero gains +1 Attack. Action: Pay 1 resource from attached heros pool to attach Dunedain Mark to another hero.,Attachment
Campfire Tales,,Action: Each player draws 1 card.,Event
Winged Guardian,,Winged Guardian cannot have restricted attachments. Forced: After an attack in which Winged Guardian defends resolves. pay 1 Tactics resource or discard Winged Guardian from play.,Ally
The Eagles are Coming!,,Action: Search the top 5 cards of your deck for any number of Eagle cards and add them to your hand.  Shuffle the other cards back into your deck.,Event
Westfold Horse-Breaker,,Action: Discard Westfold Horse-Breaker to choose and ready a hero.,Ally
Mustering the Rohirrim,,Action: Search the top 10 cards of your deck for any 1 Rohan ally card and add it to your hand.  Then. shuffle the other cards back into your deck.,Event
Rivendell Minstrel,,Response: After you play Rivendell Minstrel from your hand. search your deck for 1 Song card and add it to your hand.  Shuffle your deck.,Ally
Striders Path,,Response: After a location is revealed from the encounter deck. immediately travel to that location without resolving its Travel effect.  If another location is currently active. return it to the staging area.,Event
Song of Kings,,Attach to a hero.Attached hero gains a Leadership resource icon.,Attachment
The Hunt Begins,,"Side A: Setup: Reveal 1 card per player from the encounter deck. and add it to the staging area.
Side B: Forced: After the players quest successfully. the first player looks at the top 3 cards of the encounter deck.  Reveal and add 1 of those cards to the staging area. and discard the other 2 cards.",Quest
A New Terror Abroad,,"Side A: none.  Side B: Forced: At the beginning of the quest phase. the first player looks at the top 2 cards of the encounter deck.  Reveal and add 1 of those cards to the staging area. and discard the other.",Quest
On the Trail,,"Side A: none.  Side B: Any player who does not control a hero with at least 1 Clue objective attached cannot commit characters to this quest.  If there are ever no heroes with Clue objectives attached in play. reset the quest deck to stage 2B.
If the players defeat this stage. the players have once again found a true sign of Gollums passing. and won the game.",Quest
Signs of Gollum,,"Guarded. Response: After the players quest successfully. the players may claim Signs of Gollum if it has no attached encounters. When claimed. attach Signs of Gollum to any hero committed to the quest. (Counts as a Condition attachment with: ""Forced: After attached hero is damaged or leaves play. return this card to the top of the encounter deck."")",Objective
The Old Ford,,X is the number of ally cards in play.,Location
The Eaves of Mirkwood,,While The Eaves of Mirkwood is the active location. encounter card effects cannot be canceled.,Location
River Ninglor,,While River Ninglor is the active location. remove 1 progress token from it and from the current quest at the end of each round.,Location
The East Bank,,While The East Bank is the active location. ally cards cost 1 additional matching resource to play from hand.,Location
The West Bank,,While The West Bank is the active location. attachment and event cards cost 1 additional matching resource to play from hand.,Location
Goblintown Scavengers,,When Revealed: Discard the top card of each players deck. Until the end of the phase. increase Goblintown Scavengers Threat by the total printed cost of all cards discarded in this way.,Enemy
Hunters from Mordor,,Hunters from Mordor get +2 Attack and +2 Threat for each Clue card in play.,Enemy
False Lead,,When Revealed: The first player chooses and shuffles a card with the printed Clue trait back into the encounter deck. If there are no Clue cards in play. False Lead gains surge.,Treachery
Flooding,,When Revealed: Remove all progress tokens from all Riverland locations.,Treachery
Old Wives Tales,,When Revealed: Discard 1 resource from each heros resource pool. if able. Exhaust any hero that could not discard a resource from its pool.,Treachery
Frodo Baggins,Unique,Response: After Frodo Baggins is damaged. cancel the damage and instead raise your threat by the amount of damage he would have been dealt. (Limit once per phase.),Hero
Dunedain Warning,,"Attach to a hero. Attached hero gains +1 Defense.
Action: Pay 1 resource from attached heros pool to attach Dunedain Warning to another hero.",Attachment
Second Breakfast,,Action: Each player returns the topmost attachment card from his discard pile to his hand.,Event
Beorning Beekeeper,,Action: Discard Beorning Beekeeper from play to deal 1 damage to each enemy in the staging area.,Ally
Born Aloft,,"Attach to an ally.  Action: Discard Born Aloft from play to return attached ally to its owners hand.",Attachment
Eomund,,Response: After Eomund leaves play. ready all Rohan characters in play.,Ally
Nor am I a Stranger,,Attach to a character. Attached character gains the Rohan trait.,Attachment
Longbeard Map-Maker,,Action: Spend 1 Lore Resource to give Longbeard Map-Maker +1 Willpower until the end of the phase.,Ally
A Burning Brand,,"Attach to Lore character.  While attached character is defending. cancel any shadow effects on cards dealt to the attacking enemy.",Attachment
Song of Wisdom,,"Attach to a hero. Attached hero gains a Lore resource icon.",Attachment
Grimbeorns Quest,,"Side A: Setup: Add The Carrock to the staging area.  Remove 4 unique Troll cards and 4 copies of the ""Sacked!"" card from the encounter deck and set them aside. out of play.  Then shuffle 1 ""Sacked!"" card per player back into the encounter deck.  Side B: Forced: After placing the 7th progress token on Grimbeorns Quest. The Carrock becomes the active location.  Discard the previous active location from play.",Quest
Against the Trolls,,"Side A: none.  Side B: When Revealed: Place the unique Troll cards previously set aside into the staging area.
Players cannot defeat this stage if there are any Troll enemies in play.",Quest
Grimbeorn the Old,,"Grimbeorn the Old does not exhaust to defend against Troll enemies. If Grimbeorn the Old has 8 or more resource tokens on him. he joins the first player as an ally.
Action: Spend 1 Leadership resource to place that resource on Grimbeorn the Old.",Objective - Ally
Louis,,"While Louis is engaged with a player. all Troll enemies gain. ""Forced: After this enemy attacks. the defending player must raise his threat by 3.""Response: After defeating Louis. you may choose and discard 1 ""Sacked!"" card from play.",Enemy
Morris,,"While Morris is engaged with a player. all Troll enemies get +1 Attack. Response: After defeating Morris. you may choose and discard 1 ""Sacked!"" card from play.",Enemy
Stuart,,"While Stuart is engaged with a player. all Troll enemies get +1 Defense. Response: After defeating Stuart. you may choose and discard 1 ""Sacked!"" card from play.",Enemy
Rupert,,"Forced: After Rupert attacks. shuffle all copies of the ""Sacked!"" card from the discard pile back into the encounter deck. Response: After defeating Rupert. you may choose and discard 1 ""Sacked!"" card from play.",Enemy
Muck Adder,,Forced: If Muck Adder damages a character. discard that character from play.,Enemy
The Carrock,,Immune to player card effects. Players cannot travel to The Carrock except through quest card effects. While The Carrock is the active location. Troll enemies get +1 [Attack] and +1 [Defense].,Location
River Langflood,,While it is in the staging area. River Langflood gets +1 [Threat] for each Troll enemy in play.,Location
Bee Pastures,,Response: After you travel to Bee Pastures. search the encounter deck and discard pile for Grimbeorn the Old and add him to the staging area. Then shuffle the encounter deck.,Location
Oak-Wood Grove,,While Oak-wood Grove is the active location. resource tokens from any sphere may be spent as Leadership resource tokens.,Location
A Frightened Beast,,When Revealed: Each player raises his threat by the total Threat of all cards in the staging area. Any player may choose to discard from play 1 Creature ally card he controls to cancel this effect.,Treachery
Sacked!,,"When Revealed: Attach to a hero with no ""Sacked!"" cards attached controlled by the first player. (Cannot be canceled). Counts as a Condition attachment with the text: ""Attached hero cannot attack. defend. commit to a quest. trigger its effect. or collect resources.""",Treachery
Roasted Slowly,,"When Revealed: Destroy all heroes with the card ""Sacked!"" attached. Then. shuffle Roasted Slowly back into the encounter deck.",Treachery
Prince Imrahil,Unique,Response: After a character leaves play. ready Prince Imrahil. (Limit once per round.),Hero
Dunedain Quest,,"Attach to a hero. Attached hero gains +1 Willpower.
Action: Pay 1 resource from attached heros pool to attach Dunedain Quest to another hero.",Attachment
Parting Gifts,,Action: Move any number of resource tokens from a Leadership heros resource pool to any other heros resource pool.,Event
Landroval,Unique,"Landroval cannot have restricted attachments.
Response: After a hero card is destroyed. return Landroval to his owners hand to put that hero back into play. with 1 damage token on it. (Limit once per game.)",Ally
To the Eyrie,,Response: After an ally is destroyed. exhaust 1 Eagle character to move that ally from the discard pile to its owners hand.,Event
Escort from Edoras,,"While committed to a quest. Escort from Edoras gets +2 Willpower.
Forced: After resolving a quest to which Escort from Edoras was committed. discard Escort from Edoras from play.",Ally
Ancient Mathom,,"Attach to a location.
Response: After attached location is explored. the first player draws 3 cards.",Attachment
Haldir of Lorien,,,Ally
Infighting,,Action: Move any number of damage from one enemy to another.,Event
Radagast,Unique,"Radagast collects 1 resource each resource phase. These resources can be used to pay for Creature cards played from your hand. 
Action: Spend X resources from Radagasts pool to heal X wounds on any 1 Creature.",Ally
The Wounded Eagle,,"Side A: Setup: Search the encounter deck for Rhosgobel and Wilyador. and add them to the staging area with 2 damage tokens on Wilyador.  Then. shuffle the encounter deck.  Side B: none.",Quest
Radagasts Request,,"Side A: none. Side B: Response: After the quest phase begins. the first player may place X damage tokens on Wilyador to look at the top 3 cards of the encounter deck.  Reveal and add 1 of these cards to the staging area. and discard the other 2.  X is the number of players in the game.
Forced: After a card effect heals Wilyador. remove that card from the game.",Quest
Return to Rhosgobel,,"Side A: none.  Side B: When Revealed: Heal 5 wounds from Wilyador for each Athelas objective card the players control.
If Wilyador is completely healed when this effect resolves. Wilyador survives and the players have won the game.  Otherwise. the players have lost the game.",Quest
Athelas,,Action: Exhaust a hero to claim this objective if it has no encounters attached. Then. attach Athelas to that hero.,Objective
Wilyador,,"No attachments. The first player gains control of Wilyador. as an ally.
Forced: At the end of each round. Wilyador suffers 2 damage.Wilyador cannot be healed of more than 5 wounds by a single effect. If Wilyador leaves play. the players have lost the game.",Objective - Ally
Rhosgobel,,"While Rhosgobel is in the staging area. Wilyador cannot be healed.
Travel: Players must complete stage one of this quest before they can travel to Rhosgobel.",Location
Forest Grove,,Response: After the players explore Forest Grove. search the encounter deck and discard pile for 1 Athelas objective. and add it to the staging area. Then. shuffle the encounter deck.,Location
Exhaustion,,When Revealed: Deal 2 damage to each exhausted character.,Treachery
Swarming Insects,,When Revealed: Deal 1 damage to each character without any attachments.,Treachery
Festering Wounds,,When Revealed: Deal 2 damage to each wounded character.,Treachery
Mirkwood Flock,,Only Eagle characters or characters with ranged can attack or defend against Mirkwood Flock.,Enemy
Black Forest Bats,,Only Eagle characters or characters with ranged can attack or defend against Black Forest Bats.,Enemy
Brand son of Bain,Unique,Response: After Brand son of Bain attacks and defeats an enemy engaged with another player. choose and ready one of that players characters.,Hero
Keen-eyed Took,,"Response: After Keen-eyed Took enters play. reveal the top card of each players deck.
Action: Return Keen-eyed Took to your hand to discard the top card of each players deck.",Ally
Rear Guard,,Quest Action: Discard a Leadership ally to give each hero committed to this quest +1 Willpower until the end of the phase.,Event
Descendant of Thorondor,,"Descendant of Thorondor cannot have restricted attachments.
Response: After Descendant of Thorondor enters or leaves play. deal 2 damage to any 1 enemy in the staging area.",Ally
Meneldors Flight,,Action: Choose an Eagle ally.  Return that character to its owners hand.,Event
The Riddermarks Finest,,Action: Exhaust and discard The Riddermarks Finest to place 2 progress tokens on any location.,Ally
Ride to Ruin,,Action: Discard a Rohan ally to choose a location. Place 3 progress tokens on that location.,Event
Gildor Inglorion,,Action: Exhaust Gildor Inglorion to look at the top 3 cards of your deck. Switch one of those cards with a card from your hand. Then. return the 3 cards to the top of your deck. in any order.,Ally
Gildors Counsel,,"Play during the Quest phase. before characters are committed to the Quest.
Action: Reveal 1 less card from the encounter deck this phase. (To a minimum of 1.)",Event
Song of Travel,,Attach to a hero. Attached hero gains a Spirit resource icon.,Attachment
The Hills of Emyn Muil,,"Side A: Setup: Search the encounter deck for Amon Hen and Amon Lhaw. and add them to the staging area.  Then shuffle the encounter deck.
Side B: Forced: If there are no location cards in the staging area. the first treachery card revealed during the quest phase gains surge.
Players cannot defeat this stage unless there are no Emyn Muil locations in play. and the have collected at least 20 victory points.",Quest
Amon Hen,,X is double the number of players in the game. While Amon Hen is the active location. players cannot play events.,Location
Amon Lhaw,,X is double the number of players in the game. While Amon Lhaw is the active location. treat all attachments as if their printed text boxes were blank.,Location
The East Wall of Rohan,,While The East Wall of Rohan is the active location. non-Rohan characters cost 2 additional matching resources to play.,Location
The North Stair,,"Forced: After traveling to the North Stair. move the top card of the encounter discard pile to the staging area. Resolve any ""when revealed"" effects on that card.",Location
Rauros Falls,,While Rauros Falls is the active location. all characters must commit to the current quest during the quest phase.,Location
The Shores of Nen Hithoel,,Travel: The first player must discard 1 event card from his hand to travel to this location.,Location
The Outer Ridge,,While The Outer Ridge is the active location. each location in the staging area gets +1 Threat.,Location
The Highlands,,Travel: In order to travel to The Highlands. the players must reveal the top card of the encounter deck. and add it to the staging area.,Location
Impassable Chasm,,When Revealed: If there is an active location. remove all progress tokens from that location and return it to the staging area. If no location is moved by this effect. this card gains surge.,Treachery
Rockslide,,When Revealed: Deal 2 damage to each character committed to this quest.,Treachery
Slick Footing,,When Revealed: Remove 1 progress token from each location in play. Then. discard the top card of each players deck for each progress token removed by this effect.,Treachery
Orc Horse Thieves,,Orc Horse Thieves get +1 Attack for each location in the staging area.,Enemy
Boromir,Unique,"Action: Raise your threat by 1 to ready Boromir.
Action: Discard Boromir to deal 2 damage to each enemy engaged with a single player.",Hero
Dunedain Watcher,,Response: Discard Dunedain Watcher from play to cancel the shadow effects of a card just triggered.,Ally
