Card Name,Cost,Rarity,Description,Type,ImageID
Sogen,0,Common,Increases the ATK and DEF of all Beast-Warrior and Warrior-Type Monsters by 200 points.,Spell,
Umi,0,Common,Increases the ATK and DEF of all Fish Sea Serpent Thunder and Aqua-Type Monsters by 200 points. Also decreases the ATK and DEF of all Machine and Pyro-Type Monsters by 200 points.,Spell,
Yami,0,Common,Increases the ATK and DEF of all Fiend and Spellcaster-Type Monsters by 200 points. Also decreases the ATK and DEF of all Fairy-Type Monsters by 200 points.,Spell,
Dark Hole,0,Super Rare,Destroys all Monsters on the field.,Spell,
Raigeki,0,Super Rare,Destroys all of your opponents Monsters on the field.,Spell,
Red Medicine,0,Common,Increases your Life Points by 500 points.,Spell,
Sparks,0,Common,Inflicts 200 points of Direct Damage to your opponents Life Points.,Spell,
Fissure,0,Rare,Destroys 1 opponents face-up Monster with the lowest ATK.,Spell,
Trap Hole,0,Super Rare,If the ATK of a Monster summoned by your opponent (excluding Special Summon) is 1000 points or more the Monster is destroyed.,Trap,
Polymerization,0,Super Rare,Fuses 2 or more Fusion-Material Monsters to form a new Fusion Monster.,Spell,
Remove Trap,0,Common,Destroys 1 face-up Trap Card on the field.,Spell,
Two-Pronged Attack,0,Rare,Select and destroy 2 of your Monsters and 1 of your opponents Monsters.,Trap,
Mystical Elf,0,Super Rare,A delicate elf that lacks offense but has a terrific defense backed by mystical power,Monster,
Tyhone,0,Common,Capable of firing cannonballs from its mouth for long-range attacks this creature is particularly effective in mountain battles.,Monster,
Gravedigger Ghoul,0,Rare,Select 2 Monster Cards from your opponents Graveyard. These Monster Cards are removed from play for the remainder of the Duel.,Spell,
Curse of Dragon,0,Super Rare, A wicked dragon that taps into dark forces to execute a powerful attack.,Monster,
Giant Soldier of Stone,0,Rare,A giant warrior made of stone. A punch from this creature has earth-shaking results,Monster,
Uraby,0,Common,Fast on its feet this dinosaur rips enemies to shreds with its sharp claws.,Monster,
Red-Eyes B. Dragon,0,Ultra Rare,A ferocious dragon with a deadly attack.,Monster,
Reaper of the Cards,0,Rare,FLIP: Destroys 1 Trap Card on the field. If this cards target is face-down flip it face-up. If the card is a Trap Card it is destroyed. If not it is returned to its face-down position. The flipped card is not activated.,Monster,
Witty Phantom,0,Common,Dressed in a night-black tuxedo this creature presides over the darkness.,Monster,
Hard Armor,0,Common,A living suit of armor that attacks enemies with a bone-jarring tackle.,Monster,
Man Eater,0,Common,Man-eating plant with poison feelers for attacking enemies,Monster,
Spirit of the Harp,0,Rare,A spirit that soothes the soul with the music of its heavenly harp. ,Monster,
Armaill,0,Common, A strange warrior who manipulates three deadly blades with both hands and his tail,Monster,
Terra the Terrible,0,Common,Known as a swamp dweller this creature is a minion of the dark forces.,Monster,
Kumootoko,0,Common,A massive intelligent spider that traps enemies with webbing.,Monster,
Meda Bat,0,Common, An eyeball fiend created by a servant of the wicked it uses Dark Blasts to blow away its enemies.,Monster,
Enchanting Mermaid,0,Common, A beautiful mermaid that lures voyagers to a watery grave.,Monster,
Fireyarou,0,Common,A malevolent creature wrapped in flames that attacks enemies with intense fire.,Monster,
Dark Energy,0,Short Print,A Fiend-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Laser Cannon Armor,0,Short Print,An Insect-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Vile Germs,0,Short Print,A Plnat-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Silver Bow and Arrow,0,Short Print,A Fairy-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Dragon Treasure,0,Short Print,A Dragon-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Electro-Whip,0,Common,A Thunder-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Mystical Moon,0,Short Print,A Beast-Warrior-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Stop Defense,0,Rare,Select 1 of your opponents Monsters and switch it to Attack Position. If the card is face-down flip it face-up. If the card has a flip effect it is activated immediately.,Spell,
Machine Conversion Factory,0,Short Print,A Machine-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Raise Body Heat,0,Short Print,A Dinosaur-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Follow Wind,0,Short Print,A Winged Beast-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Goblins Secret Remedy,0,Rare,Increase your Life Points by 600 points.,Spell,
Final Flame,0,Rare,Inflicts 600 points of Direct Damage to your opponents Life Points.,Spell,
Swords of Revealing Light,0,Super Rare,Counting from your opponents turn none of your opponents Monsters can attack for 3 turns of his/her own. When this card is activated opponents face-down Monsters at that time are turned face-up,Spell,
Metal Dragon,0,Rare,Steel Ogre Grotto #1 + Lesser Dragon,Monster,
Spike Seadra,0,Common,Using the spikes sprouting from its body this creature stabs its opponents and floods them with electricity.,Monster,
Tripwire Beast,0,Common, This creature attacks with electromagnetic waves.,Monster,
Skull Red Bird,0,Common,This Monster swoops down and attacks with a rain of knives stored in its wings,Monster,
Armed Ninja,0,Rare,FLIP: Destroys 1 Spell Card on the field. If this cards target is face-down flip it face-up. If the card is a Spell Card it is destroyed. If not it is returned to its face-down position. The flipped card is not activated.,Monster,
Flower Wolf,0,Rare,Silver Fang + Darkworld Thorns,Monster,
Man-Eater Bug,0,Super Rare,FLIP: Destroys 1 Monster on the field,Monster,
Misairuzame,0,Common,A missile-launching fish protected by deadly spikes.,Monster,
Steel Ogre Grotto #1,0,Common, A steel idol worshipped in the Land of Machines,Monster,
Lesser Dragon,0,Common,A minor dragon incapable of breathing fire,Monster,
Darkworld Thorns,0,Common,A thorny plant found in the darklands that wraps itself around any unwary traveler.,Monster,
Drooling Lizard,0,Common, A blood-sucking snake in human form that attacks any living being that passes nearby.,Monster,
Armored Starfish,0,Common,A bluish starfish with a solid hide capable of fending off attacks,Monster,
Succubus Knight,0,Common,A warrior wizard adept in casting bone-chilling spells. ,Monster,
Monster Reborn,0,Ultra Rare,Select 1 Monster Card from either your opponents or your own Graveyard and place it on the field under your control in Attack or Defense Position (face-up). This is considered a Special Summon.,Spell,
Right Leg of the Forbidden One,0,Ultra Rare,A forbidden right leg sealed by magic. Whosoever breaks this seal will know infinite power.,Monster,
Left Leg of the Forbidden One,0,Ultra Rare,A forbidden left leg sealed by magic. Whosoever breaks this seal will know infinite power.,Monster,
Right Arm of the Forbidden One,0,Ultra Rare,A forbidden right arm sealed by magic. Whosoever breaks this seal will know infinite power.,Monster,
Left Arm of the Forbidden One,0,Ultra Rare,A forbidden left arm sealed by magic. Whosoever breaks this seal will know infinite power.,Monster,
Exodia the Forbidden One,0,Ultra Rare,"When you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",Monster,
Gaia the Dragon Champion,0,Secret Rare,Gaia the Fierce Knight + Curse of Dragon,Monster,
Gate Guardian,0,Secret Rare,This card can only be Special Summoned by offering Sanga of the Thunder Kazejin and Suijin on your side of the field as a Tribute.,Monster,
Feral Imp,0,Common,A playful little fiend that lurks in the dark waiting to attack an unwary enemy.,Monster,
"Winged Dragon, Guardian of the Fortress #1",0,Common, A dragon commonly found guarding mountain fortresses. Its signature attack is a sweeping dive from out of the blue,Monster,
Summoned Skull,0,Ultra Rare,"Archfiend Card
A fiend with dark powers for confusing the enemy. Among the Fiend-Type Monsters this Monster boasts considerable force",Monster,
Rock Ogre Grotto #1,0,Common, Protected by a solid body of rock this Monster throws a bone-shattering punch.,Monster,
Armored Lizard,0,Common,A lizard with a very tough hide and a vicious bite,Monster,
Killer Needle,0,Common,A huge bee with exceptional strength thats particularly dangerous in a swarm,Monster,
Larvae Moth,0,Common,This Monster can only be Special Summoned by offering Petit Moth as a Tribute on the 2nd of your turns after Petit Moth has been equipped with Cocoon of Evolution,Monster,
Harpie Lady,0,Common,This human-shaped animal with wings is beautiful to watch but deadly in battle.,Monster,
Harpie Lady Sisters,0,Super Rare, This Monster can only be Special Summoned with the Magic Card Elegant Egotist.,Monster,
Kojikocy,0,Common, A man-hunter with powerful arms that can crush boulders,Monster,
Cocoon of Evolution,0,Short Print,You may treat this card as an Equip Magic Card on a face-up Petit Moth on the field. When equipped the ATK and DEF of Petit Moth becomes the same as Cocoon of Evolution,Monster,
Crawling Dragon,0,Common,This weakened dragon can no longer fly but is still a deadly force to be reckoned with.,Monster,
Armored Zombie,0,Common,This warrior blindly swings a deadly blade with devastating force.,Monster,
Mask of Darkness,0,Rare, FLIP: Select 1 Trap Card from your Graveyard and return it to your hand.,Monster,
Doma The Angel of Silence,0,Common, This fairy rules over the end of existence.,Monster,
White Magical Hat,0,Rare,When this card inflicts damage to your opponents Life Points 1 card must be discarded randomly from your opponents hand to the Graveyard.,Monster,
Big Eye,0,Common, FLIP: See the 5 cards from the top of your Deck arrange them in any order desired and replace them on top of the Deck.,Monster,
B. Skull Dragon,0,Ultra Rare,"Archfiend Card 
Summoned Skull + Red-Eyes B. Dragon",Monster,
Masked Sorcerer,0,Rare,When you inflict damage to your opponents Life Points with this card draw 1 card from your Deck.,Monster,
Roaring Ocean Snake,0,Common,Mystic Lamp + Hyosube,Monster,
Water Omotics,0,Common,Transforms the water overflowing from a jar into attacking dragons.,Monster,
Ground Attacker Bugroth,0,Common,A surface battle robot that was once used for sea warfare.,Monster,
Petit Moth,0,Common,This small but deadly creature is better off avoided.,Monster,
Elegant Egotist,0,Rare,When there are 1 or more Harpie Lady cards on the field you can Special Summon 1 Harpie Lady or Harpie Lady Sisters from your hand or your Deck.,Spell,
Sanga of the Thunder,0,Super Rare,Reduce the ATK of an opponents Monster attacking this card to 0. This effect can be used only once. The cards owner chooses when to activate this effect.,Monster,
Kazejin,0,Super Rare,Reduce the ATK of an opponents Monster attacking this card to 0. This effect can be used only once. The cards owner chooses when to activate this effect.,Monster,
Suijin,0,Super Rare,Reduce the ATK of an opponents Monster attacking this card to 0. This effect can be used only once. The cards owner chooses when to activate this effect.,Monster,
Mystic Lamp,0,Short Print,This Monster may attack your opponents Life Points directly.,Monster,
Steel Scorpion,0,Common,A non Machine-Type Monster attacking Steel Scorpion will be destroyed at the End Phase of your opponents 3rd turn after the attack.,Monster,
Ocubeam,0,Common,Frightening in appearance this creature uses its large eyes and ears to keep track of any movement.,Monster,
Leghul,0,Short Print,This Monster may attack your opponents Life Points directly.,Monster,
Ooguchi,0,Short Print,This Monster may attack your opponents Life Points directly.,Monster,
Leogun,0,Common,Huge Monster with a lions mane similar to the King of Beasts.,Monster,
Blast Juggler,0,Common,Offer this card as a Tribute during your Standby Phase if face-up to destroy 2 face-up Monsters with an ATK of 1000 or less.,Monster,
Jinzo #7,0,Short Print,This Monster may attack your opponents Life Points directly.,Monster,
Magician of Faith,0,Rare,FLIP: Select 1 Magic Card from your Graveyard and return it to your hand.,Monster,
Ancient Elf,0,Common,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.,Monster,
Deepsea Shark,0,Common,Bottom Dweller + Tongyo,Monster,
Bottom Dweller,0,Common,This is one sea creature whose wrath id something Monsters fear to face.,Monster,
Destroyer Golem,0,Common, A golem with a massive right hand for crushing its victims.,Monster,
Kaminari Attack,0,Common, Ocubeam + Mega Thunderball,Monster,
Rainbow Flower,0,Short Print,This Monster may attack your opponents Life Points directly.,Monster,
Morinphen,0,Common, A strange fiend with long arms and razor-sharp talons,Monster,
Mega Thunderball,0,Common,Rolls along the ground releasing bolts of electricity to attack its enemies,Monster,
Tongyo,0,Common,This Monster captures other fish with its long tongue and sucks the energy out of them.,Monster,
Empress Judge,0,Common,Queens Double + Hibikime,Monster,
Pale Beast,0,Common,With skin tinged a bluish-white this strange creature is a fearsome sight to behold.,Monster,
Electric Lizard,0,Common, A non Zombie-Type Monster attacking Electric Lizard cannot attack on its following turn,Monster,
Hunter Spider,0,Common, This Monster feeds on whatever it catches in its web.,Monster,
Ancient Lizard Warrior,0,Common,Before the dawn of man this lizard warrior ruled supreme,Monster,
Queens Double,0,Short Print,This Monster may attack your opponents Life Points directly.,Monster,
Trent,0,Common,A guardian of the woods this massive tree is believed to be immortal.,Monster,
Disk Magician,0,Common,This Monster hides in a saucer and only appears when executing an attack,Monster,
Hyosube,0,Common,This amphibian is strong on the attack but leaves much to be desired when defending.,Monster,
Hibikime,0,Common, Confuses enemy Monsters with a noise that is harsh to the ears.,Monster,
Fake Trap,0,Rare,When your opponent uses a Magic Trap or Effect Monster Card to destroy your Trap Card(s) this card can be destroyed as a substitute for your Trap Card(s).,Trap,
Tribute to The Doomed,0,Super Rare,Discard 1 card from your hand to the Graveyard to destroy 1 Monster Card on the field (regardless of its position).,Spell,
Soul Release,0,Common,Select up to 5 cards from either you or your opponents Graveyard and remove them from the current Duel.,Spell,
The Cheerful Coffin,0,Common,You can discard up to 3 Monster Cards from your hand to the Graveyard.,Spell,
Change of Heart,0,Ultra Rare,Select and control 1 opposing Monster (regardless of position) on the field until the end of your turn.,Spell,
Baby Dragon,0,Short Print,Much more than just a child this dragon is gifted with untapped power.,Monster,
Blackland Fire Dragon,0,Common,A dragon that dwells in the depths of darkness its vulnerability lies in its poor eyesight.,Monster,
Swamp Battleguard,0,Common, Increase the ATK of this Monster by 500 points for every face-up Lava Battleguard on your side of the field.,Monster,
Battle Steer,0,Common,A bull Monster often found in the woods it charges enemy Monsters with a pair of deadly horns.,Monster,
Time Wizard,0,Ultra Rare,Toss a coin and call Heads or Tails. If you call it right your opponents Monsters on the field are destroyed. If you call it wrong your own Monsters on the field are destroyed and you lose Life Points equal to their combined ATK,Monster,
Saggi the Dark Clown,0,Common,This clown appears from nowhere and executes very strange moves to avoid enemy attacks,Monster,
Dragon Piper,0,Common,FLIP: Destroys Dragon Capture Jar and turns all face-up Dragon-Type Monsters to Attack Position.,Monster,
Illusionist Faceless Mage,0,Common,Manipulates enemy attacks with the power of illusion.,Monster,
Sangan,0,Rare,When this card is sent from the field to the Graveyard move 1 Monster with an ATK of 1500 or less from your Deck to your hand. Your Deck is then shuffled,Monster,
Great Moth,0,Rare,This card can only be Special Summoned by offering Petit Moth as a Tribute on the 4th of your turns after Petit Moth has been equipped with Cocoon of Evolution,Monster,
Kuriboh,0,Super Rare,Discard this card from your hand to the Graveyard to make the damage inflicted to your Life Points by 1 opponents Monster 0. This effect must be activated during your opponents Battle Phase.,Monster,
Jellyfish,0,Common,An almost invisible semi-transparent jellyfish that drifts in the sea.,Monster,
Castle of Dark Illusions,0,Common, FLIP: Increases the ATK and DEF of all Zombie-Type Monsters by 200 points. As long as this card remains face-up on the field the ATK and DEF of Zombie-Type Monsters continues to increase by 200 during each of your Standby Phases.,Monster,
King of Yamimakai,0,Common,Wields the power of darkness to destroy its enemies,Monster,
Catapult Turtle,0,Super Rare, Offer 1 Monster on your side of the field as Tribute to inflict Direct Damage equal to half of the Tribute Monsters ATK to your opponents Life Points. Monsters used for a Tribute Summon or that are offered as Tributes by other cards effects are excluded,Monster,
Mystic Horseman,0,Common, Half man and half horse this Monster is known for its extreme speed.,Monster,
Rabid Horseman,0,Common,Battle Ox + Mystic Horseman,Monster,
Crass Clown,0,Short Print,When this card is changed from Defense Position to Attack Position return 1 Monster on your opponents side of the field to the owners hand.,Monster,
Pumpking the King of Ghosts,0,Common," If ""Castle of Dark Illusions"" is face-up on the field increase the ATK and DEF of this card by 100 points. As long as this ""Castle of Dark Illusions"" remains face-up on the field the ATK and DEF of this card continues to increase by 100 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated.",Monster,
Dream Clown,0,Short Print,When this card is changed from Attack Position to Defense Position select and destroy 1 Monster on your opponents side of the field.,Monster,
Tainted Wisdom,0,Common,When this card is changed from Attack Position to Defense Position shuffle your own Deck.,Monster,
Ancient Brain,0,Common,A fallen fairy that is powerful in the dark,Monster,
Guardian of the Labyrinth,0,Common,A Monster that guards the entrance to the Netherworld.,Monster,
Prevent Rat,0,Common,This creature is shielded with a tough hide of hair and is excellent a defending itself.,Monster,
The Little Swordsman of Aile,0,Common,Offer 1 Monster on your side of the field as a Tribute to increase this Monsters ATK by 700 points until the end of the turn,Monster,
Princess of Tsurugi,0,Rare,FLIP: Inflicts 500 points of direct damage to your opponents life points for each magic and trap card your opponent has on the field.,Monster,
Protector of the Throne,0,Common,While the king is away this queen protects his throne with a mighty defense,Monster,
Tremendous Fire,0,Common,Inflicts 1000 points of Direct Damage to your opponents Life Points and 500 points of Direct Damage to your Life Points.,Spell,
Jirai Gumo,0,Common, When you attack with this card toss a coin and call it. If you call it right attack normally. If you call it wrong reduce your Life Points by half before attacking.,Monster,
Shadow Ghoul,0,Rare, Increase the ATK of this Monster by 100 points for each Monster in your own Graveyard.,Monster,
Labyrinth Tank,0,Common,Giga-Tech Wolf + Cannon Soldier,Monster,
Ryu-Kishin Powered,0,Common,A gargoyle enhanced by the powers of darkness. Very sharp talons make it a worthy opponent,Monster,
Bickuribox,0,Common,Crass Clown + Dream Clown,Monster,
Giltia the D. Knight,0,Common,Guardian of the Labyrinth + Protector of the Throne,Monster,
Launcher Spider,0,Common,A mechanical spider with rocket launchers capable of random fire.,Monster,
Giga-Tech Wolf,0,Common, An iron wolf with razor-sharp fangs that can penetrate any armor.,Monster,
Thunder Dragon,0,Short Print,Discard this card from your hand to the Graveyard to add up to 2 Thunder Dragon cards from your Deck to your hand. Your Deck is then shuffled. This effect is activated only during a Main Phase.,Monster,
7 Colored Fish,0,Common, A rare rainbow fish that has never been caught by mortal man,Monster,
The Immortal of Thunder,0,Common,FLIP: You gain 3000 Life Points. After this card is flipped you lose 5000 Life Points when it is sent from the field to the Graveyard,Monster,
Punished Eagle,0,Common,Blue-Winged Crown + Niwatori ,Monster,
Insect Soldiers of the Sky,0,Common, The ATK of this card increases by 1000 points whenever it attacks a WIND Monster.,Monster,
Hoshiningen,0,Rare,As long as this card remains face-up on the field increase ATK of all LIGHT Monsters by 500 points and decrease the ATK of all DARK Monsters by 400 points.,Monster,
Musician King,0,Common,Witch of the Black Forest + Lady of Faith,Monster,
Yado Karu,0,Common,When this card is changed from Defense Position to Attack Position you can place any number of cards from your hand at the bottom of your Deck in any order you desire,Monster,
Cyber Saurus,0,Common,Blast Juggler + Twin-Headed King Rex,Monster,
Cannon Soldier,0,Rare, Offer 1 Monster on your side of the field as a Tribute to inflict 500 points of Direct Damage to your opponents Life Points. Monsters used for a Tribute Summon or that are offered as Tributes due to other cards effects are excluded.,Monster,
Muka Muka,0,Rare,Increase the ATK and DEF of this card by 300 points for every card in your hand.,Monster,
The Bistro Butcher,0,Common,When this card inflicts damage to your opponent your opponent must draw 2 cards from his/her Deck.,Monster,
Star Boy,0,Rare,As long as this card remains face-up on the field increase the ATK of all WATER Monsters by 500 points and decrease the ATK of all FIRE Monsters by 400 points,Monster,
Milus Radiant,0,Rare,As long as this card remains face-up on the field increase the ATK of all EARTH Monsters by 500 points and decrease the ATK of all WIND Monsters by 400 points,Monster,
Flame Cerebrus,0,Common,Known to many as the Burning Executioner this Monster is capable of burning enemies to cinders,Monster,
Niwatori,0,Common,Swallows enemies whole and uses their essence as energy,Monster,
Dark Elf,0,Rare,This card requires a cost of 1000 of your own Life Points to attack.,Monster,
Mushroom Man #2,0,Common,A player controlling this Monster loses 300 Life Points during each of his/her Standby Phases when this card is face-up on the field. Control of this card is shifted to your opponent by paying 500 Life Points at your own End Phase.,Monster,
Lava Battleguard,0,Common, Increase the ATK of this card by 500 points for each face-up Swamp Battleguard on your side of the field.,Monster,
Witch of the Black Forest,0,Rare,When this card is sent from the field to the Graveyard move 1 Monster with a DEF of 1500 or less from your Deck to your hand. Your Deck is then shuffled.,Monster,
Little Chimera,0,Rare,As long as this card remains face-up on the field increase ATK of all FIRE Monsters by 500 points and decrease the ATK of all WATER Monsters by 400 points.,Monster,
Bladefly,0,Rare,As long as this card remains face-up on the field increase ATK of all WIND Monsters by 500 points and decrease the ATK of all EARTH Monsters by 400 points.,Monster,
Lady of Faith,0,Common,Soothes the souls of others by chanting a mysterious spell.,Monster,
Twin-Headed Thunder Dragon,0,Super Rare,,Monster,
Witchs Apprentice,0,Rare,As long as this card remains face-up on the field increase ATK of all DARK Monsters by 500 points and decrease the ATK of all LIGHT Monsters by 400 points.,Monster,
Blue-Winged Crown,0,Common,With hair shaped like a crown and a body encased in bluish white flames this bird is a formidable sight.,Monster,
Skull Knight,0,Common,Tainted Wisdom + Ancient Brain,Monster,
Gazelle the King of Mythical Beasts,0,Short Print,This Monster moves so fast that it looks like an illusion to mortal eyes.,Monster,
Garnecia Elefantis,0,Super Rare, A Monster so heavy that each step rocks the earth.,Monster,
Barrel Dragon,0,Ultra Rare, Toss a coin 3 times. If 2 out of 3 results are Heads destroy 1 Monster on your opponents side of the field. This cards effect can only be used during your own turn once per turn.,Monster,
Solemn Judgment,0,Ultra Rare,Pay half of your Life Points when your opponent either activates a Magic or Trap Card or summons a Monster including Special Summon to negate the action and destroy the Magic Card Trap Card or summoned Monster.,Trap,
Magic Jammer,0,Ultra Rare,Discard 1 card from your hand to the Graveyard to negate the activation of a Magic Card and destroy it.,Trap,
Seven Tools of the Bandit,0,Ultra Rare,Pay 1000 of your Life Points to negate the activation of a Trap Card and destroy it.,Trap,
Horn of Heaven,0,Ultra Rare,Offer 1 of your Monsters on the field as a Tribute to negate the summon (including Special Summon) of a Monster and destroy it.,Trap,
Shield & Sword,0,Rare,For 1 turn each face-up Monsters original ATK becomes their original DEF and vice-versa. Any additions or subtractions to ATK and/or DEF due to card effects are applied to the new ATK and DEF. Monsters summoned after this card are unaffected.,Spell,
Sword of Deep-Seated,0,Common,A Monster card equipped with this card increases its ATK and DEF by 500 points. When this card is sent to the Graveyard place it on top of your Deck.,Spell,
Block Attack,0,Common,Select 1 of your opponents Monsters and shift it to Defense Position.,Spell,
The Unhappy Maiden,0,Short Print, When this card is sent to the Graveyard as a result of battle the Battle Phase for that turn ends immediately.,Monster,
Robbin Goblin,0,Rare,Each time 1 of your Monsters inflicts damage to your opponents Life Points 1 card is randomly selected from your opponents hand and discarded to the Graveyard.,Trap,
Germ Infection,0,Common,The ATK of a non Machine-Type Monster equipped with this card is decreased by 300 points at each of its Standby Phases.,Spell,
Paralyzing Potion,0,Common,A non Machine-Type Monster equipped with this card cannot attack.,Spell,
Mirror Force,0,Ultra Rare,When your opponents Monster attacks negate the attack and destroy all opponents Monsters in Attack Position.,Trap,
Ring of Magnetism,0,Common,A Monster equipped with this card decreases its ATK and DEF by 500 points. All your opponents Monsters must attack the Monster equipped with this card.,Spell,
Share the Pain,0,Common,Offer 1 Monster on your side of the field as a Tribute. Your opponent must select 1 Monster on his/her side of the field and offer it as a Tribute.,Spell,
Stim-Pack,0,Short Print,A Monster equipped with this card increases its ATK by 700 points. Its ATK is then decreased by 200 points at each of its Standby Phases.,Spell,
Heavy Storm,0,Super Rare,Destroys all Magic and Trap Cards on the field.,Spell,
Thousand Dragon,0,Secret Rare,Time Wizard + Baby Dragon,Monster,
Blue Eyes Toon Dragon,0,Secret Rare,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned while Toon World is on your side of the field. You can Special Summon this Monster from your hand, but Tributes are required for Monsters Level 5 or more. This card cannot attack in the turn that it is summoned. Unless you pay 500 Life Points, this Monster cannot attack. When Toon World on the field is destroyed, this card is also destroyed. If your opponent doesnt control a Toon Monster, this card can attack your opponents Life Points directly. If a face-up Toon Monster is on your opponents side of the field,  you must select the Toon Monster as an attack target.",Monster,
Penguin Knight,0,Common, When this card is sent directly from your Deck to the Graveyard by an opponents card effect combine your Graveyard cards with your own Deck shuffle them and form a new Deck.,Monster,
Axe of Despair,0,Ultra Rare,"Archfiend Card
A Monster equipped with this card increases its ATK by 1000 points. When this card is sent from the field to the Graveyard you can offer 1 Monster from the field as a Tribute to place it on top of your Deck.",Spell,
